data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"01/05/2023";"05:12:00";"24";"ac03 - Aci";"785,11";"BR-365/MG";"Oeste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"01/05/2023";"05:46:00";"29";"ac03 - Aci";"38,55";"BR-364/GO";"Oeste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"01/05/2023";"15:12:00";"209";"ac03 - Aci";"645";"BR-365/MG";"Leste";"Colisão Traseira";1;0;0;0;0;1;0;0;0;0;3;0;0;0;0
"01/05/2023";"18:06:00";"278";"ac02 - Aci";"650";"BR-365/MG";"Oeste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;2;1;0;0;0
"01/05/2023";"18:47:00";"294";"ac02 - Aci";"835,19";"BR-365/MG";"Oeste";"Atropelamento de Animal";0;0;0;0;0;0;0;0;0;1;2;1;0;0;0
"02/05/2023";"21:20:00";"332";"ac02 - Aci";"15";"BR-364/GO";"Leste";"Choque - Talude ou Barranco";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"03/05/2023";"14:41:00";"212";"ac03 - Aci";"93,12";"BR-364/GO";"Oeste";"Choque - Sinalização";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"03/05/2023";"16:15:00";"249";"ac03 - Aci";"133,5";"BR-364/GO";"Leste";"Choque - Sinalização";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"05/05/2023";"12:38:00";"206";"ac03 - Aci";"653,81";"BR-365/MG";"Leste";"Colisão Traseira";0;0;0;0;0;1;0;0;0;1;2;0;0;0;0
"05/05/2023";"18:00:00";"302";"ac02 - Aci";"814,8";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
"05/05/2023";"21:05:00";"351";"ac03 - Aci";"858,5";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;0;0;0;0;0;0;0;1;3;0;0;0;0
"06/05/2023";"10:19:00";"119";"ac04 - Aci";"93";"BR-364/GO";"Oeste";"Choque - Outros";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"06/05/2023";"13:47:00";"197";"ac02 - Aci";"746,3";"BR-365/MG";"Leste";"Queda de Moto";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
"06/05/2023";"21:15:00";"346";"ac03 - Aci";"49,38";"BR-364/GO";"Oeste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
"07/05/2023";"17:21:00";"270";"ac02 - Aci";"745";"BR-365/MG";"Oeste";"Queda de Ciclista";0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"07/05/2023";"18:53:00";"300";"ac03 - Aci";"1";"BR-364/GO";"Oeste";"Choque - Defensa metálica";1;0;0;0;0;0;0;0;0;0;5;0;0;0;0
